STEP,X,Y,Z
20,6.1889,4.6863,4.8802
21,4.3831,4.5557,2.5377
22,8.3633,4.1896,4.5282
23,3.9939,5.2925,3.6689
24,6.3726,5.2137,3.5653
25,3.2669,3.7074,5.0557
26,3.8832,3.4095,4.1372
27,6.6493,2.9737,3.5575
28,6.8815,5.6845,4.4258
29,5.6403,2.7465,4.8700
30,5.8929,4.5207,2.4414
31,7.4701,4.8145,5.0277
32,4.1029,4.5722,4.8933
33,5.0576,3.5203,4.1437
34,5.3578,5.0149,4.1610
35,5.1730,3.7354,2.4948
36,6.2260,3.5860,4.4324
37,3.3822,5.4715,4.6752
38,4.4754,4.3424,3.8365
39,5.1851,4.2237,4.9538
0,7.2270,3.6903,4.8466
1,6.0626,3.0478,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8739,3.4404
4,5.6937,5.6474,2.7577
5,6.3505,3.4066,5.4931
6,4.5627,3.3074,3.2461
7,7.7000,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,7.3426,4.9561,2.7271
10,7.6206,5.1927,3.7818
11,4.4902,3.3606,5.0831
12,5.7808,5.7554,4.7323
13,6.9643,4.4326,4.1200
14,5.3578,3.2064,5.8448
15,5.3750,2.5306,3.6566
16,5.2168,4.7472,3.2072
17,6.7310,4.2302,3.1171
18,4.9129,5.8469,3.6273
19,4.6205,5.4886,4.8371
20,6.2000,4.6900,4.8801
21,4.3830,4.5557,2.5377
22,8.3632,4.1896,4.5282
23,3.9891,5.2880,3.6612
24,6.3499,5.2236,3.5515
25,3.2669,3.7073,5.0556
26,3.8832,3.4094,4.1372
27,6.7231,3.0063,3.6161
28,6.8814,5.6844,4.4258
29,5.6566,2.7765,4.8353
30,5.8929,4.5207,2.4414
31,7.4701,4.8144,5.0277
32,4.0917,4.5254,4.8321
33,5.0575,3.5203,4.1437
34,5.3578,5.0148,4.1610
35,5.1730,3.7353,2.4948
36,6.2260,3.5859,4.4324
37,3.3822,5.4715,4.6752
38,4.4753,4.3423,3.8365
39,5.1850,4.2236,4.9538
0,7.2269,3.6903,4.8466
1,6.0626,3.0478,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8738,3.4404
4,5.6937,5.6474,2.7577
5,6.3505,3.4066,5.4930
6,4.5626,3.3074,3.2461
7,7.6999,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,7.3426,4.9561,2.7271
10,7.6732,5.2068,3.7857
11,4.4902,3.3606,5.0830
12,5.7798,5.7593,4.8069
13,6.9642,4.4326,4.1200
14,5.3578,3.2064,5.8448
15,5.3275,2.5732,3.6710
16,5.2167,4.7472,3.2072
17,6.7309,4.2302,3.1171
18,4.9129,5.8469,3.6273
19,4.6477,5.4825,4.8376
20,6.2000,4.6900,4.8801
21,4.3830,4.5557,2.5377
22,4.6378,5.8505,2.5636
23,3.9891,5.2880,3.6612
24,6.3499,5.2236,3.5514
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7242,3.0096,3.6175
28,6.8814,5.6844,4.4258
29,5.6566,2.7765,4.8353
30,5.8929,4.5207,2.4414
31,7.4700,4.8144,5.0276
32,4.0917,4.5254,4.8321
33,5.0575,3.5203,4.1437
34,5.3854,4.9975,4.2017
35,5.1729,3.7353,2.4948
36,6.2260,3.5859,4.4323
37,3.3822,5.4715,4.6751
38,4.4753,4.3423,3.8365
39,5.1850,4.2236,4.9537
0,7.2269,3.6903,4.8466
1,6.0626,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7846,3.8738,3.4403
4,5.6937,5.6474,2.7577
5,6.3525,3.4104,5.4910
6,4.5626,3.3074,3.2461
7,7.6999,3.7268,3.6962
8,3.6547,3.9650,3.1138
9,6.9102,5.1858,2.7166
10,7.6732,5.2068,3.7857
11,4.4902,3.3607,5.0830
12,5.7798,5.7593,4.8069
13,6.9642,4.4326,4.1200
14,5.3577,3.2064,5.8448
15,5.3275,2.5731,3.6710
16,5.2109,4.7619,3.2089
17,6.7438,4.2147,3.1220
18,4.9129,5.8469,3.6273
19,4.6477,5.4825,4.8376
20,6.2000,4.6899,4.8801
21,4.3830,4.5557,2.5377
22,4.5287,5.7915,2.6258
23,3.9891,5.2880,3.6612
24,6.3253,5.1306,3.5567
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7216,3.0143,3.6301
28,6.8814,5.6844,4.4257
29,5.6565,2.7764,4.8353
30,5.8929,4.5207,2.4414
31,7.4700,4.8144,5.0276
32,4.0917,4.5253,4.8321
33,5.0575,3.5203,4.1437
34,5.3755,4.9899,4.2085
35,5.1729,3.7353,2.4948
36,6.2259,3.5859,4.4323
37,3.3822,5.4714,4.6751
38,4.4753,4.3423,3.8364
39,5.1850,4.2236,4.9537
0,7.2269,3.6903,4.8466
1,6.0625,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7845,3.8738,3.4403
4,5.6936,5.6473,2.7576
5,6.3524,3.4103,5.4909
6,4.5626,3.3073,3.2461
7,7.6999,3.7267,3.6962
8,3.6547,3.9649,3.1138
9,6.9101,5.1858,2.7166
10,7.6731,5.2067,3.7856
11,4.4901,3.3606,5.0830
12,5.7798,5.7593,4.8068
13,6.9642,4.4326,4.1199
14,5.2529,3.2680,5.7488
15,5.5671,2.7208,3.7628
16,5.2109,4.7618,3.2089
17,6.7438,4.2147,3.1220
18,4.9128,5.8468,3.6273
19,4.6476,5.4825,4.8375
20,6.1999,4.6899,4.8800
21,4.3765,4.6262,2.6380
22,4.5287,5.7915,2.6258
23,3.9891,5.2879,3.6612
24,6.3252,5.1305,3.5567
25,3.2669,3.7073,5.0556
26,3.8831,3.4094,4.1371
27,6.7215,3.0143,3.6300
28,6.8813,5.6844,4.4257
29,5.6565,2.7764,4.8353
30,5.9375,4.4753,2.4218
31,7.4700,4.8144,5.0276
32,4.0916,4.5253,4.8320
33,5.0575,3.5202,4.1436
34,5.3802,4.9725,4.2231
35,5.1729,3.7353,2.4947
36,6.1482,3.6846,4.4758
37,3.3821,5.4714,4.6751
38,4.4753,4.3423,3.8364
39,5.1850,4.2236,4.9537
0,7.2327,3.6808,4.8451
1,6.0625,3.0477,2.6804
2,3.2548,4.4261,4.1192
3,5.7845,3.8738,3.4403
4,5.6936,5.6473,2.7576
5,6.3524,3.4103,5.4909
6,4.5626,3.3073,3.2461
7,7.6963,3.7305,3.6764
8,3.6546,3.9649,3.1138
9,6.9101,5.1857,2.7166
10,7.6549,5.2528,3.6516
11,4.4157,3.4731,5.1099
12,5.7797,5.7592,4.8068
13,6.9641,4.4325,4.1199
14,5.2529,3.2680,5.7488
15,5.5671,2.7208,3.7628
16,5.2109,4.7618,3.2089
17,6.7437,4.2147,3.1220
18,4.9128,5.8468,3.6273
19,4.6476,5.4825,4.8375
20,6.1999,4.6899,4.8800
21,4.3765,4.6262,2.6380
22,4.5287,5.7914,2.6258
23,3.9891,5.2879,3.6612
24,6.3172,5.1067,3.5928
25,3.2668,3.7073,5.0555
26,3.8831,3.4094,4.1371
27,6.7736,3.0549,3.7903
28,6.8813,5.6843,4.4257
29,5.6565,2.7764,4.8352
30,5.9375,4.4753,2.4218
31,7.4699,4.8143,5.0276
32,4.0916,4.5253,4.8320
33,5.0575,3.5202,4.1436
34,5.3802,4.9724,4.2231
35,5.1729,3.7353,2.4947
36,6.1482,3.6846,4.4758
37,3.3821,5.4714,4.6751
38,4.4753,4.3423,3.8364
39,5.1849,4.2236,4.9537
0,7.2327,3.6808,4.8450
1,6.0625,3.0477,2.6804
2,3.2547,4.4260,4.1191
3,5.7845,3.8738,3.4403
4,5.6936,5.6473,2.7576
5,6.3524,3.4103,5.4909
6,4.5626,3.3073,3.2461
7,7.6962,3.7305,3.6763
8,3.6546,3.9649,3.1138
9,6.9101,5.1857,2.7166
10,7.6548,5.2527,3.6516
11,4.4157,3.4731,5.1099
12,5.7165,5.9043,4.4818
13,6.9641,4.4325,4.1199
14,5.2529,3.2680,5.7487
15,5.5671,2.7208,3.7628
16,5.2109,4.7618,3.2089
17,6.7459,4.1850,3.1448
18,4.9128,5.8468,3.6272
19,4.6476,5.4824,4.8375
20,6.1999,4.6899,4.8800
21,4.3765,4.6262,2.6379
22,4.6091,5.7057,2.5908
23,3.9890,5.2879,3.6611
24,6.3171,5.1067,3.5927
25,3.2668,3.7073,5.0555
26,3.8831,3.4094,4.1371
27,6.7734,3.0558,3.7907
28,6.8813,5.6843,4.4257
29,5.6564,2.7764,4.8352
30,5.9375,4.4752,2.4217
31,7.4699,4.8143,5.0275
32,4.0916,4.5253,4.8320
33,5.0574,3.5202,4.1436
34,5.3802,4.9724,4.2231
35,5.1728,3.7353,2.4947
36,6.1482,3.6846,4.4758
37,3.4164,5.4649,4.5969
38,4.4752,4.3422,3.8364
39,5.1849,4.2235,4.9536
0,7.2326,3.6808,4.8450
1,6.0624,3.0477,2.6804
2,3.2547,4.4260,4.1191
3,5.7845,3.8737,3.4403
4,5.7752,5.7162,2.8694
5,6.3523,3.4103,5.4909
6,4.5625,3.3073,3.2460
7,7.6962,3.7305,3.6763
8,3.6546,3.9649,3.1138
9,6.9713,5.1975,2.7060
10,7.6548,5.2527,3.6516
11,4.4157,3.4731,5.1098
12,5.7165,5.9043,4.4818
13,6.9641,4.4325,4.1199
14,5.2529,3.2679,5.7487
15,5.5670,2.7208,3.7628
16,5.2146,4.7744,3.1999
17,6.7459,4.1850,3.1448
18,4.9128,5.8467,3.6272
19,4.6476,5.4824,4.8375
20,6.2405,4.7017,4.9217
21,4.3765,4.6262,2.6379
22,4.6091,5.7056,2.5908
23,3.9890,5.2878,3.6611
24,6.3171,5.1067,3.5927
25,3.2668,3.7072,5.0555
26,3.8831,3.4094,4.1370
27,6.7723,3.0683,3.7946
28,6.8812,5.6843,4.4256
29,5.6564,2.7764,4.8352
30,5.9775,4.5372,2.4369
31,7.4699,4.8143,5.0275
32,4.0916,4.5253,4.8320
33,5.0574,3.5202,4.1436
34,5.3802,4.9724,4.2231
35,5.1692,3.8155,2.5444
36,6.1481,3.6846,4.4758
37,3.4164,5.4649,4.5969
38,4.4752,4.3422,3.8364
39,5.1849,4.2235,4.9536
0,7.2400,3.6592,4.7951
1,6.0705,3.0332,2.7209
2,3.2547,4.4260,4.1191
3,5.7844,3.8737,3.4403
4,5.7630,5.7055,2.8821
5,6.3523,3.4103,5.4908
6,4.5625,3.3073,3.2460
7,7.6961,3.7305,3.6763
8,3.6546,3.9649,3.1137
9,6.9712,5.1975,2.7060
10,7.6548,5.2527,3.6516
11,4.4155,3.4730,5.1097
12,5.7165,5.9043,4.4818
13,6.9640,4.4325,4.1199
14,5.2528,3.2679,5.7487
15,5.5670,2.7208,3.7628
16,5.2146,4.7744,3.1999
17,6.8004,4.2023,3.1207
18,4.9127,5.8467,3.6272
19,4.6475,5.4824,4.8374
20,6.2405,4.7017,4.9217
21,4.3764,4.6261,2.6379
22,4.6090,5.7056,2.5907
23,3.9890,5.2878,3.6611
24,6.2942,5.1038,3.6367
25,3.2668,3.7072,5.0554
26,3.8830,3.4093,4.1370
27,6.7722,3.0683,3.7946
28,6.8812,5.6842,4.4256
29,5.6564,2.7764,4.8352
30,5.9774,4.5371,2.4369
31,7.4509,4.8140,5.0041
32,4.0916,4.5252,4.8319
33,5.0574,3.5202,4.1436
34,5.3801,4.9724,4.2230
35,5.1692,3.8155,2.5444
36,6.1481,3.6845,4.4757
37,3.4151,5.4721,4.6151
38,4.4752,4.3422,3.8363
39,5.1848,4.2235,4.9536
0,7.2399,3.6592,4.7951
1,6.0705,3.0332,2.7209
2,3.2577,4.4448,4.1069
3,5.7844,3.8737,3.4402
4,5.7629,5.7055,2.8821
5,6.3523,3.4103,5.4908
6,4.5625,3.3073,3.2460
7,7.6961,3.7304,3.6763
8,3.6546,3.9648,3.1137
9,6.9712,5.1975,2.7060
10,7.6547,5.2526,3.6515
11,4.4155,3.4730,5.1097
12,5.7164,5.9042,4.4818
13,6.9625,4.4306,4.1275
14,5.2528,3.2679,5.7487
15,5.5670,2.7207,3.7627
16,5.2145,4.7743,3.1999
17,6.8004,4.2023,3.1207
18,4.9823,5.8722,3.6802
19,4.6475,5.4823,4.8374
20,6.2404,4.7017,4.9217
21,4.3764,4.6261,2.6379
22,4.6170,5.6545,2.6782
23,3.9898,5.2866,3.6562
24,6.2942,5.1037,3.6367
25,3.2668,3.7072,5.0554
26,3.8830,3.4093,4.1370
27,6.7722,3.0683,3.7945
28,6.8811,5.6842,4.4256
29,5.6564,2.7764,4.8351
30,5.9774,4.5371,2.4369
31,7.4508,4.8140,5.0041
32,4.0915,4.5252,4.8319
33,5.0573,3.5201,4.1435
34,5.3801,4.9723,4.2230
35,5.1574,3.8106,2.5156
36,6.1481,3.6845,4.4757
37,3.4283,5.4702,4.6445
38,4.4752,4.3422,3.8363
39,5.1848,4.2235,4.9536
0,7.2620,3.6246,4.7615
1,6.0705,3.0332,2.7208
2,3.2771,4.4617,4.1009
3,5.8089,3.9172,3.4357
4,5.7953,5.6489,2.8193
5,6.3522,3.4102,5.4908
6,4.5625,3.3072,3.2460
7,7.6960,3.7304,3.6763
8,3.6545,3.9648,3.1137
9,6.9712,5.1974,2.7060
10,7.6547,5.2526,3.6515
11,4.4155,3.4730,5.1096
12,5.7164,5.9042,4.4817
13,6.9625,4.4306,4.1275
14,5.2528,3.2679,5.7486
15,5.5669,2.7207,3.7627
16,5.2145,4.7743,3.1999
17,6.8003,4.2023,3.1207
18,4.9875,5.7935,3.6921
19,4.6475,5.4823,4.8374
20,6.2404,4.7016,4.9216
21,4.3764,4.6261,2.6379
22,4.6170,5.6545,2.6782
23,3.9897,5.2866,3.6562
24,6.2942,5.1037,3.6367
25,3.2667,3.7072,5.0554
26,3.8830,3.4093,4.1370
27,6.7722,3.0683,3.7945
28,6.8366,5.6534,4.4643
29,5.6563,2.7763,4.8351
30,5.9774,4.5371,2.4368
31,7.4508,4.8139,5.0041
32,4.0915,4.5252,4.8319
33,5.0573,3.5201,4.1435
34,5.3801,4.9723,4.2230
35,5.1573,3.8106,2.5155
36,6.1333,3.6770,4.4459
37,3.4282,5.4702,4.6445
38,4.4751,4.3421,3.8363
39,5.1848,4.2234,4.9535
0,7.2620,3.6246,4.7615
1,6.0704,3.0332,2.7208
2,3.2771,4.4617,4.1009
3,5.8089,3.9172,3.4357
4,5.7953,5.6488,2.8193
5,6.3522,3.4102,5.4907
6,4.5624,3.3072,3.2460
7,7.6960,3.7304,3.6762
8,3.6545,3.9648,3.1137
9,6.9763,5.2072,2.7226
10,7.6546,5.2526,3.6515
11,4.4154,3.4729,5.1096
12,5.7164,5.9042,4.4817
13,6.9624,4.4306,4.1275
14,5.2528,3.2679,5.7486
15,5.5669,2.7207,3.7627
16,5.2145,4.7743,3.1999
17,6.8003,4.2023,3.1206
18,4.9875,5.7935,3.6921
19,4.6475,5.4823,4.8374
20,6.2262,4.7084,4.8819
21,4.3764,4.6261,2.6379
22,4.6170,5.6544,2.6782
23,3.9897,5.2865,3.6562
24,6.2941,5.1037,3.6366
25,3.3094,3.7287,5.0141
26,3.8830,3.4093,4.1370
27,6.7721,3.0683,3.7945
28,6.8366,5.6534,4.4643
29,5.6563,2.7763,4.8351
30,5.9773,4.5371,2.4368
31,7.4507,4.8139,5.0040
32,4.0915,4.5252,4.8319
33,5.0573,3.5201,4.1435
34,5.3800,4.9723,4.2230
35,5.1573,3.8105,2.5155
36,6.1333,3.6769,4.4459
37,3.4282,5.4702,4.6444
38,4.4751,4.3421,3.8363
39,5.1848,4.2234,4.9535
0,7.2620,3.6246,4.7614
1,6.0704,3.0332,2.7208
2,3.2770,4.4617,4.1009
3,5.8089,3.9172,3.4357
4,5.7953,5.6488,2.8193
5,6.3522,3.4102,5.4907
6,4.5624,3.3072,3.2460
7,7.6966,3.7313,3.6770
8,3.6545,3.9648,3.1137
9,6.9763,5.2072,2.7226
10,7.6546,5.2526,3.6515
11,4.4161,3.4726,5.1087
12,5.7164,5.9041,4.4817
13,6.9624,4.4306,4.1275
14,5.2527,3.2679,5.7486
15,5.5669,2.7207,3.7627
16,5.2503,4.7787,3.1945
17,6.8003,4.2023,3.1206
18,4.9875,5.7935,3.6921
19,4.6474,5.4823,4.8373
20,6.2262,4.7084,4.8819
21,4.3764,4.6261,2.6379
22,4.6169,5.6544,2.6782
23,3.9897,5.2865,3.6562
24,6.2941,5.1037,3.6366
25,3.3093,3.7287,5.0141
26,3.8830,3.4093,4.1369
27,6.7217,3.2015,3.6062
28,6.8365,5.6533,4.4643
29,5.6563,2.7763,4.8351
30,5.9773,4.5371,2.4368
31,7.4507,4.8139,5.0040
32,4.0915,4.5251,4.8318
33,5.0573,3.5201,4.1435
34,5.3800,4.9723,4.2230
35,5.1573,3.8105,2.5155
36,6.1332,3.6769,4.4459
37,3.4282,5.4702,4.6444
38,4.4751,4.3421,3.8363
39,5.1847,4.2234,4.9535
0,7.2619,3.6246,4.7614
1,6.0704,3.0332,2.7208
2,3.2759,4.4628,4.0650
3,5.8088,3.9172,3.4357
4,5.7953,5.6488,2.8192
5,6.3446,3.4346,5.4817
6,4.5624,3.3072,3.2459
7,7.6966,3.7313,3.6770
8,3.6545,3.9648,3.1137
9,6.9762,5.2072,2.7226
10,7.6546,5.2525,3.6515
11,4.4160,3.4726,5.1087
12,5.7163,5.9041,4.4817
13,6.9624,4.4305,4.1274
14,5.2527,3.2678,5.7485
15,5.5669,2.7207,3.7627
16,5.2503,4.7787,3.1944
17,6.8002,4.2022,3.1206
18,4.9874,5.7934,3.6921
19,4.6474,5.4822,4.8373
20,6.2262,4.7084,4.8819
21,4.3763,4.6260,2.6379
22,4.6169,5.6544,2.6782
23,3.9935,5.2858,3.6573
24,6.2941,5.1036,3.6366
25,3.3093,3.7287,5.0140
26,3.8829,3.4092,4.1369
27,6.7067,3.1855,3.6083
28,6.8365,5.6533,4.4643
29,5.6562,2.7763,4.8350
30,5.9773,4.5370,2.4368
31,7.4507,4.8139,5.0040
32,4.0914,4.5251,4.8318
33,5.0367,3.5339,4.2241
34,5.3800,4.9722,4.2229
35,5.1573,3.8105,2.5155
36,6.1332,3.6769,4.4459
37,3.4282,5.4701,4.6444
38,4.4751,4.3421,3.8362
39,5.1847,4.2234,4.9535
0,7.2619,3.6246,4.7614
1,6.0703,3.0332,2.7208
2,3.2759,4.4628,4.0650
3,5.8088,3.9172,3.4356
4,5.7952,5.6488,2.8192
5,6.3388,3.4888,5.5328
6,4.5624,3.3072,3.2459
7,7.6965,3.7312,3.6770
8,3.6545,3.9647,3.1136
9,6.9220,5.2853,2.7194
10,7.6024,5.2234,3.6576
11,4.4085,3.4294,5.0849
12,5.7163,5.9041,4.4817
13,6.9623,4.4305,4.1274
14,5.2527,3.2678,5.7485
15,5.5668,2.7207,3.7626
16,5.2503,4.7786,3.1944
17,6.8002,4.2022,3.1206
18,4.9874,5.7934,3.6921
19,4.6468,5.4793,4.8116
20,6.2261,4.7083,4.8819
21,4.3763,4.6260,2.6378
22,4.6169,5.6544,2.6782
23,3.9935,5.2858,3.6573
24,6.2940,5.1036,3.6366
25,3.3093,3.7287,5.0140
26,3.8829,3.4092,4.1369
27,6.7067,3.1855,3.6083
28,6.8365,5.6533,4.4643
29,5.6562,2.7763,4.8350
30,5.9773,4.5370,2.4368
31,7.4506,4.8138,5.0040
32,4.0914,4.5251,4.8318
33,5.0507,3.5300,4.1884
34,5.3800,4.9722,4.2229
35,5.1572,3.8105,2.5155
36,6.1332,3.6769,4.4459
37,3.4282,5.4701,4.6444
38,4.4750,4.3420,3.8362
39,5.1847,4.2234,4.9534
0,7.2619,3.6246,4.7614
1,6.0758,3.2401,2.5932
2,3.2759,4.4627,4.0650
3,5.8088,3.9172,3.4356
4,5.7952,5.6487,2.8192
5,6.1889,3.8045,5.5832
6,4.5623,3.3072,3.2459
7,7.6965,3.7312,3.6770
8,3.6545,3.9647,3.1136
9,6.9220,5.2853,2.7194
10,7.6024,5.2234,3.6576
11,4.4084,3.4293,5.0848
12,5.7163,5.9041,4.4816
13,6.9623,4.4305,4.1274
14,5.2527,3.2678,5.7485
15,5.5770,2.7338,3.7646
16,5.2502,4.7786,3.1944
17,6.8002,4.2022,3.1206
18,4.9874,5.7934,3.6920
19,4.6468,5.4793,4.8116
20,6.2261,4.7083,4.8818
21,4.3566,4.5872,2.5964
22,4.6169,5.6543,2.6782
23,4.0211,5.2789,3.6465
24,6.2940,5.1036,3.6366
25,3.2983,3.7580,5.0562
26,3.8829,3.4092,4.1369
27,6.7067,3.1855,3.6083
28,6.8364,5.6533,4.4642
29,5.6562,2.7763,4.8350
30,5.9772,4.5370,2.4368
31,7.4506,4.8138,5.0039
32,4.0914,4.5251,4.8318
33,5.0507,3.5300,4.1883
34,5.3753,4.9265,4.2056
35,5.1572,3.8105,2.5155
36,6.1331,3.6769,4.4458
37,3.4282,5.4701,4.6444
38,4.4750,4.3420,3.8362
39,5.1847,4.2233,4.9534
